name, score
Ruud Nijman  (Netherlands),0
Prabath Nissanka  (Sri Lanka),53
Paul Nixon  (England),297
Nizakat Khan  (Hong Kong),675
Mluleki Nkala  (Zimbabwe),324
Ashley Noffke  (Australia),0
Noor Ali Zadran  (Afghanistan),1153
Noor-ul-Haq  (Afghanistan),12
Marcus North  (Australia),6
Anrich Nortje  (South Africa),8
Makhaya Ntini  (South Africa / ICC World XI),199
Ashley Nurse  (West Indies),482
Nurul Abedin  (Bangladesh),15
Nurul Hasan  (Bangladesh),68
John Nyumbu  (Zimbabwe),46
Alex Obanda  (Kenya),1306
George O'Brien  (Bermuda),38
Iain O'Brien  (New Zealand),3
Kevin O'Brien  (Ireland),3444
Niall O'Brien  (Ireland),2581
Collins Obuya  (Kenya),2044
David Obuya  (Kenya),1355
Shayne O'Connor  (New Zealand),24
Nelson Odhiambo  (Kenya),23
Nehemiah Odhiambo  (Kenya),561
Simon O'Donnell  (Australia),1242
Thomas Odoyo  (Kenya / ACA Africa XI),2420
Edward Odumbe  (Kenya),61
Maurice Odumbe  (Kenya),1409
Naman Ojha  (India),1
Pragyan Ojha  (India),46
Kerry O'Keeffe  (Australia),16
Chris Old  (England),338
Duanne Olivier  (South Africa),0
Henry Olonga  (Zimbabwe),95
Lucas Oluoch  (Kenya),6
Ali Omarshah  (Zimbabwe),437
Peter Ongondo  (Kenya / ACA Africa XI),389
Graham Onions  (England),1
Justin Ontong  (South Africa / ACA Africa XI),184
Lamech Onyango  (Kenya),144
Antony Opatha  (Sri Lanka),29
Jacob Oram  (New Zealand),2434
Henry Osinde  (Canada),64
David O'Sullivan  (New Zealand),2
Elijah Otieno  (Kenya),49
Francis Otieno  (Kenya),16
Kennedy Otieno  (Kenya),2016
Maurice Ouma  (Kenya),1501
Steven Outerbridge  (Bermuda),338
Craig Overton  (England),0
Michael Owens  (New Zealand),0
Tim Paine  (Australia),890
Steven Palframan  (South Africa),55
Mangesh Panchel  (Netherlands),0
Gyanendra Pandey  (India),4
Manish Pandey  (India),440
Chandrakant Pandit  (India),290
Hardik Pandya  (India),731
Monty Panesar  (England),26
Pankaj Singh  (India),3
Rishabh Pant  (India),93
Tinashe Panyangara  (Zimbabwe),239
Michael Papps  (New Zealand),207
Jatin Paranjpe  (India),54
Brenton Parchment  (West Indies),122
Joel Paris  (Australia),0
Ghulam Parkar  (India),165
John Parker  (New Zealand),248
Matthew Parker  (Scotland),59
Norman Parker  (New Zealand),0
Wayne Parnell  (South Africa),508
Adam Parore  (New Zealand),3314
Derek Parry  (West Indies),61
Stephen Parry  (England),0
Parvez Rasool  (India),0
Nelon Pascal  (West Indies),0
Leonard Pascoe  (Australia),39
Sudath Pasqual  (Sri Lanka),24
Ashish Patel  (Canada),25
Ashok Patel  (India),6
Axar Patel  (India),181
Brijal Patel  (Kenya),360
Brijesh Patel  (India),243
Dipak Patel  (New Zealand),623
Hiral Patel  (Canada),468
Jitendra Patel  (Canada),3
Jeetan Patel  (New Zealand),95
Kalpesh Patel  (Kenya),1
Monank Patel  (United States),39
Malhar Patel  (Kenya),40
Munaf Patel  (India),74
Parthiv Patel  (India),736
Rashid Patel  (India),0
Rakeep Patel  (Kenya),621
Samit Patel  (England),482
Timil Patel  (United States),50
Dane Paterson  (South Africa),0
Grant Paterson  (Zimbabwe),123
Irfan Pathan  (India),1544
Rayyankhan Pathan  (Canada),2
Yusuf Pathan  (India),810
Sachith Pathirana  (Sri Lanka),332
Sandeep Patil  (India),1005
Swapnil Patil  (United Arab Emirates),263
Jason Patraj  (Canada),21
Bruce Patterson  (Scotland),10
Balfour Patterson  (West Indies),44
James Pattinson  (Australia),42
Rohit Kumar  (Nepal),86
Keemo Paul  (West Indies),115
Thelston Payne  (West Indies),126
Stephen Peall  (Zimbabwe),91
Gerald Peckover  (Zimbabwe),33
Andrew Penn  (New Zealand),23
Angelo Perera  (Sri Lanka),39
Gamini Perera  (Sri Lanka),0
Dilruwan Perera  (Sri Lanka),152
Kusal Perera  (Sri Lanka),2283
Thisara Perera  (Sri Lanka),2147
Priyamal Perera  (Sri Lanka),33
Ruchira Perera  (Sri Lanka),8
Suresh Perera  (Sri Lanka),195
Veerasammy Permaul  (West Indies),19
Nehemiah Perry  (West Indies),212
Pervez Mir  (Pakistan),26
Alviro Petersen  (South Africa),504
Robin Peterson  (South Africa),556
Mark Petrie  (Scotland),3
Richard Petrie  (New Zealand),65
Aaron Phangiso  (South Africa),81
Andile Phehlukwayo  (South Africa),416
Vernon Philander  (South Africa),151
Iain Philip  (Scotland),20
Norbert Phillip  (West Indies),0
Wayne Phillips  (Australia),852
Mevan Pieris  (Sri Lanka),19
Kevin Pietersen  (England / ICC World XI),4440
Arthur Pitcher  (Bermuda),20
Azeem Pitcher  (Bermuda),36
Oliver Pitcher  (Bermuda),72
Liam Plunkett  (England),584
Patrick Pocock  (England),4
Nosaina Pokana  (Papua New Guinea),9
Kieron Pollard  (West Indies),2289
Victor Pollard  (New Zealand),67
Shaun Pollock  (South Africa / ACA Africa XI / ICC World XI),3519
Ricky Ponting  (Australia / ICC World XI),13704
Riaz Poonawala  (United Arab Emirates),44
Navdeep Poonia  (Scotland),237
Nicholas Pooran  (West Indies),0
Graeme Porter  (Australia),3
William Porterfield  (Ireland),3962
Nic Pothas  (South Africa),24
Ramesh Powar  (India),163
Daren Powell  (West Indies),118
Kieran Powell  (West Indies),1005
Rovman Powell  (West Indies),670
Ricardo Powell  (West Indies),2085
Andrew Poynter  (Ireland),255
Stuart Poynter  (Ireland),185
Manoj Prabhakar  (India),1858
Nuwan Pradeep  (Sri Lanka),27
Venkatesh Prasad  (India),221
Dhammika Prasad  (Sri Lanka),129
Mannava Prasad  (India),131
Seekkuge Prasanna  (Sri Lanka),421
Dwaine Pretorius  (South Africa),132
Ray Price  (Zimbabwe),406
Mark Priest  (New Zealand),103
Ashwell Prince  (South Africa / ACA Africa XI),1018
Chris Pringle  (New Zealand),193
Donald Pringle  (East Africa),5
Derek Pringle  (England),425
Meyrick Pringle  (South Africa),48
Matthew Prior  (England),1282
Ashan Priyanjan  (Sri Lanka),420
Cheteshwar Pujara  (India),51
Yodhin Punja  (United Arab Emirates),1
Ravindra Pushpakumara  (Sri Lanka),36
Muthumudalige Pushpakumara  (Sri Lanka),7
Malinda Pushpakumara  (Sri Lanka),11
Andrew Puttick  (South Africa),0
Andrew Pycroft  (Zimbabwe),295
Milton Pydanna  (West Indies),2
Qadeer Ahmed  (United Arab Emirates),9
Qaiser Ali  (Canada),244
Qasim Omar  (Pakistan),642
Kagiso Rabada  (South Africa),201
Carl Rackemann  (Australia),34
Neal Radford  (England),0
Clive Radley  (England),250
Raees Ahmadzai  (Afghanistan),88
Rafiqul Alam  (Bangladesh),24
Rafiqul Islam  (Bangladesh),0
Ajinkya Rahane  (India),2962
Rahat Ali  (Pakistan),8
Rahmat Shah  (Afghanistan),2001
Pipi Raho  (Papua New Guinea),0
Kagiso Rabada  (South Africa),201
Carl Rackemann  (Australia),34
Neal Radford  (England),0
Clive Radley  (England),250
Raees Ahmadzai  (Afghanistan),88
Rafiqul Alam  (Bangladesh),24
Rafiqul Islam  (Bangladesh),0
Ajinkya Rahane  (India),2962
Rahat Ali  (Pakistan),8
Rahmat Shah  (Afghanistan),2001
Pipi Raho  (Papua New Guinea),0
KL Rahul  (India),343
Suresh Raina  (India),5615
Edward Rainsford  (Zimbabwe),55
Lallit Rajbanshi  (Nepal),5
Rajin Saleh  (Bangladesh),1005
Kasun Rajitha  (Sri Lanka),0
Lalchand Rajput  (India),9
Venkatapathy Raju  (India),32
Woorkeri Raman  (India),617
Champaka Ramanayake  (Sri Lanka),210
Ryan Ramdass  (West Indies),1
Denesh Ramdin  (West Indies),2200
Rameez Shahzad  (United Arab Emirates),691
Sadagopan Ramesh  (India),646
Ramiz Raja  (Pakistan),5841
Dinanath Ramnarine  (West Indies),5
Ravi Rampaul  (West Indies),362
Mark Ramprakash  (England),376
Darren Ramsammy  (Canada),0
Ramveer Rai  (United Arab Emirates),39
Anura Ranasinghe  (Sri Lanka),153
Keerhi Ranasinghe  (Sri Lanka),55
Arjuna Ranatunga  (Sri Lanka),7456
Dammika Ranatunga  (Sri Lanka),49
Nishantha Ranatunga  (Sri Lanka),0
Sanjeeva Ranatunga  (Sri Lanka),253
Seth Rance  (New Zealand),0
Ujesh Ranchod  (Zimbabwe),3
Derek Randall  (England),1067
Randhir Singh  (India),0
Suraj Randiv  (Sri Lanka),280
Boyd Rankin  (Ireland / England),85
Raqibul Hasan  (Bangladesh),1308
Raqibul Hasan  (Bangladesh),17
Adil Rashid  (England),543
Rashid Khan  (Afghanistan),798
Rashid Khan  (Pakistan),110
Rashid Latif  (Pakistan),1709
Rashid Zia  (United States),9
Vikram Rathore  (India),193
Nilantha Ratnayake  (Sri Lanka),0
Rumesh Ratnayake  (Sri Lanka),612
Ravi Ratnayeke  (Sri Lanka),824
Ajay Ratra  (India),90
Sanjay Raul  (India),8
Damien Ravu  (Papua New Guinea),6
Peter Rawson  (Zimbabwe),80
Ambati Rayudu  (India),1694
Raza Hasan  (Pakistan),0
Raza-ur-Rehman  (Canada),225
Vivek Razdan  (India),23
Chris Read  (England),300
Bharat Reddy  (India),11
Aaron Redmond  (New Zealand),152
Rodney Redmond  (New Zealand),3
Ian Redpath  (Australia),46
Darren Reekers  (Netherlands),481
Dermot Reeve  (England),291
Basant Regmi  (Nepal),13
Bruce Reid  (Australia),49
Charles Reid  (United States),8
John Reid  (New Zealand),633
Richard Reid  (New Zealand),248
Floyd Reifer  (West Indies),117
Raymon Reifer  (West Indies),7
Paul Reiffel  (Australia),503
Gavin Rennie  (Zimbabwe),635
John Rennie  (Zimbabwe),183
John Reva  (Papua New Guinea),62
Jonty Rhodes  (South Africa),5935
Steven Rhodes  (England),107
Clive Rice  (South Africa),26
Austin Richards  (West Indies),2
Clifton Richards  (England),154
Dale Richards  (West Indies),179
Sir Viv Richards  (West Indies),6721
David Richardson  (South Africa),868
Edward Richardson  (Ireland),12
Jhye Richardson  (Australia),68
Kane Richardson  (Australia),50
Mark Richardson  (New Zealand),42
Richie Richardson  (West Indies),6248
Michael Rindel  (South Africa),575
Emmanuel Ringera  (Kenya),0
Piet Rinke  (Zimbabwe),319
Michael Rippon  (Netherlands),71
Greg Ritchie  (Australia),959
Steve Rixon  (Australia),40
Chundangapoyil Rizwan  (United Arab Emirates),153
Rizwan Ahmed  (Pakistan),0
Rizwan Cheema  (Canada),764
Rizwan Latif  (United Arab Emirates),0
Rizwan-Uz-Zaman  (Pakistan),20
Kemar Roach  (West Indies),280
Andrew Roberts  (New Zealand),16
Andy Roberts  (West Indies),231
Stuart Roberts  (New Zealand),1
Gary Robertson  (New Zealand),49
Gavin Robertson  (Australia),45
Jacobi Robinson  (Bermuda),27
Richard Robinson  (Australia),82
Tim Robinson  (England),597
Robiul Islam  (Bangladesh),0
Liam Roche  (Zimbabwe),4
Barney Rogers  (Zimbabwe),478
Glenn Rogers  (Scotland),81
Rohan Mustafa  (United Arab Emirates),662
Rokhan Barakzai  (Afghanistan),0
Toby Roland-Jones  (England),37
Irvine Romaine  (Bermuda),783
Leon Romero  (United States),1
Luke Ronchi  (New Zealand / Australia),1397
Graham Roope  (England),173
Joe Root  (England),5300
Brian Rose  (England),99
Franklyn Rose  (West Indies),217
Rilee Rossouw  (South Africa),1239
Lawrence Rowe  (West Indies),136
Jason Roy  (England),2938
Rubel Hossain  (Bangladesh),123
Jacques Rudolph  (South Africa / ACA Africa XI),1174
Rumman Raees  (Pakistan),27
David Rundle  (South Africa),6
Mark Rushmere  (South Africa),78
Andre Russell  (West Indies),998
Jack Russell  (England),423
Hamish Rutherford  (New Zealand),15
Ken Rutherford  (New Zealand),3143
Jesse Ryder  (New Zealand),1362
Saad Ali  (Pakistan),11
Saad Nasim  (Pakistan),99
Saadat Ali  (Pakistan),184
Sabbir Rahman  (Bangladesh),1219
Sadiq Mohammad  (Pakistan),383
Saeed Ajmal  (Pakistan),324
Saeed Anwar  (Pakistan),8824
Saeed Azad  (Pakistan),65
Saeed-Al-Saffar  (United Arab Emirates),0
Sagar Pun  (Nepal),3
Anil Sah  (Nepal),25
Wriddhiman Saha  (India),41
Saiful Islam  (Bangladesh),37
Sajid Ali  (Pakistan),130
Sajjad Ahmed  (Bangladesh),15
Sajjad Akbar  (Pakistan),5
Salahuddin Ahmed  (Bangladesh),24
Saleem Altaf  (Pakistan),25
Saleem Elahi  (Pakistan),1579
Saleem Malik  (Pakistan),7170
Saleem Pervez  (Pakistan),18
Saleem Raza  (United Arab Emirates),159
Saleem Yousuf  (Pakistan),768
Salim Jaffer  (Pakistan),36
Ian Salisbury  (England),7
Salman Butt  (Pakistan),2725
Salman Faris  (United Arab Emirates),43
Salman Farooq  (United Arab Emirates),0
George Salmond  (Scotland),57
Aavishkar Salvi  (India),4
Abdool Samad  (Canada),738
Johanne Samarasekera  (United Arab Emirates),124
Athula Samarasekera  (Sri Lanka),844
Dulip Samaraweera  (Sri Lanka),91
Thilan Samaraweera  (Sri Lanka),862
Edagedara Samarawickrama  (Sri Lanka),132
Sameer Zia  (United Arab Emirates),2
Sami Aslam  (Pakistan),78
Samiullah Khan  (Pakistan),0
Samiullah Shinwari  (Afghanistan),1737
Samiur Rahman  (Bangladesh),4
Darren Sammy  (West Indies),1871
Marlon Samuels  (West Indies),5606
Robert Samuels  (West Indies),54
Lakshan Sandakan  (Sri Lanka),31
Sandeep Goud  (Oman),0
Kevin Sandher  (Canada),36
Balwinder Sandhu  (India),51
Gurinder Sandhu  (Australia),0
Kumar Sangakkara  (Sri Lanka / ACC Asian XI / ICC World XI),14234
Rahul Sanghvi  (India),8
Mitchell Santner  (New Zealand),826
Sanwar Hossain  (Bangladesh),290
Saqib Ali  (United Arab Emirates),84
Saqlain Haider  (United Arab Emirates),58
Saqlain Mushtaq  (Pakistan),711
Sarandeep Singh  (India),47
Sarfraz Ahmed  (Pakistan),2128
Sarfraz Nawaz  (Pakistan),221
Pawan Sarraf  (Nepal),12
Ramnaresh Sarwan  (West Indies),5804
Fazil Sattaur  (Canada),20
Sayed Shirzad  (Afghanistan),0
Marcelis Schewe  (Netherlands),49
Edgar Schiferli  (Netherlands),161
Reiout Scholte  (Netherlands),39
Bernard Scholtz  (Namibia),0
Brett Schultz  (South Africa),0
Glenroy Sealy  (Canada),73
Barry Seebaran  (Canada),4
Peter Seelaar  (Netherlands),125
Surendra Seeraj  (Canada),13
Virender Sehwag  (India / ACC Asian XI / ICC World XI),8273
Tim Seifert  (New Zealand),33
Thirumalai Sekar  (India),0
Keith Semple  (West Indies),64
Charith Senanayake  (Sri Lanka),126
Sachithra Senanayake  (Sri Lanka),290
Craig Serjeant  (Australia),73
Ramesh Sethi  (East Africa),54
Shabbir Ahmed  (Pakistan),10
Shabir Noori  (Afghanistan),191
Shadab Kabir  (Pakistan),0
Shadab Khan  (Pakistan),294
Shafiq Ahmed  (Pakistan),41
Shafiqullah  (Afghanistan),430
Shafiuddin Ahmed  (Bangladesh),22
Shafiul Islam  (Bangladesh),126
Kinchit Shah  (Hong Kong),136
Owais Shah  (England),1834
Ravindu Shah  (Kenya),1506
Shahadat Hossain  (Bangladesh),79
Shaheedur Rahman  (Bangladesh),62
Shaheen Shah Afridi  (Pakistan),41
Shahid Afridi  (Pakistan / ACC Asian XI / ICC World XI),8064
Shahid Anwar  (Pakistan),37
Shahid Mahboob  (Pakistan),119
Shahid Nazir  (Pakistan),25
Shahid Saeed  (Pakistan),141
Shahid Wasif  (Hong Kong),81
Shahriar Hossain  (Bangladesh),362
Shahriar Nafees  (Bangladesh),2201
Shahzad Khan  (Canada),4
Shahzaib Hasan  (Pakistan),100
Shaiman Anwar  (United Arab Emirates),1219
Shakeel Ahmed  (Pakistan),61
Shakeel Khan  (Pakistan),0
Shakib Al Hasan  (Bangladesh),5717
Tabraiz Shamsi  (South Africa),0
Aftabodeen Shamsuden  (Canada),3
Shamsur Rahman  (Bangladesh),266
Shan Masood  (Pakistan),111
Dasun Shanaka  (Sri Lanka),327
Vijay Shankar  (India),165
James Shannon  (Ireland),2
Shapoor Zadran  (Afghanistan),67
Sharafuddin Ashraf  (Afghanistan),53
Safyaan Sharif  (Scotland),224
Shariful Haque  (Bangladesh),10
Sharjeel Khan  (Pakistan),812
Ajay Sharma  (India),424
Chetan Sharma  (India),456
Gopal Sharma  (India),11
Ishant Sharma  (India),72
Karn Sharma  (India),0
Mohit Sharma  (India),31
Parthasarathy Sharma  (India),20
Rahul Sharma  (Hong Kong),11
Rahul Sharma  (India),1
Rohit Sharma  (India),8010
Sanjeev Sharma  (India),80
Ravishankar Shastri  (India),3108
Timothy Shaw  (South Africa),26
Andrew Sheahan  (Australia),75
Shehzad Altaf  (United Arab Emirates),0
Mohammad Sheikh  (Kenya),68
Qasim Sheikh  (Scotland),63
Vikrant Shetty  (United Arab Emirates),16
Mthokozisi Shezi  (South Africa),0
Irvine Shillingford  (West Indies),30
Sew Shivnarine  (West Indies),20
Shoaib Akhtar  (Pakistan / ACC Asian XI / ICC World XI),394
Shoaib Malik  (Pakistan),7526
Shoaib Mohammad  (Pakistan),1269
D'Arcy Short  (Australia),83
Shubman Gill  (India),16
Laxmi Shukla  (India),18
Kenneth Shuttleworth  (England),7
Shuvagata Hom  (Bangladesh),70
Lega Siaka  (Papua New Guinea),352
Vusi Sibanda  (Zimbabwe / ACA Africa XI),2994
Peter Siddle  (Australia),31
James Siddons  (Australia),32
Ryan Sidebottom  (England),133
Navjot Sidhu  (India),4413
Sikandar Raza  (Zimbabwe),2515
Sikander Bakht  (Pakistan),31
Shadeep Silva  (United Arab Emirates),7
Kelaniyage Silva  (Sri Lanka),1
Chamara Silva  (Sri Lanka),1588
Amal Silva  (Sri Lanka),441
Christopher Silverwood  (England),17
Simandeep Singh  (Hong Kong),0
Simi Singh  (Ireland),193
Lendl Simmons  (West Indies),1958
Philip Simmons  (West Indies),3675
Eric Simons  (South Africa),217
Bob Simpson  (Australia),36
Richard Sims  (Zimbabwe),31
Matthew Sinclair  (New Zealand),1304
R P Singh  (India),104
R. P. Singh  (India),0
Robin Singh  (India),2336
Vikram Singh  (India),8
Milinda Siriwardana  (Sri Lanka),513
Laxman Sivaramakrishnan  (India),5
Skhawit Ali  (Hong Kong),46
Wilfred Slack  (England),43
Michael Slater  (Australia),987
Gladstone Small  (England),98
Milton Small  (West Indies),0
Timothy Smart  (Hong Kong),34
J J Smit  (Namibia),29
Clay Smith  (Bermuda),192
Colin Smith  (Scotland),432
Christopher Smith  (England),109
David Smith  (England),15
Dwayne Smith  (West Indies),1560
Devon Smith  (West Indies),1059
Graeme Smith  (South Africa / ACA Africa XI),6989
Ian Smith  (New Zealand),1055
Mclaren Smith  (Bermuda),0
Michael Smith  (England),70
Michael Smith  (Scotland),19
Neil Smith  (England),100
Robin Smith  (England),2419
Ruaidhri Smith  (Scotland),10
Stephen Smith  (Australia),861
Steven Smith  (Australia),3431
Jeroen Smits  (Netherlands),168
Jeremy Snape  (England),118
Shane Snater  (Netherlands),12
Martin Snedden  (New Zealand),535
Richard Snell  (South Africa),322
John Snow  (England),9
Sir Garry Sobers  (West Indies),0
Ish Sodhi  (New Zealand),62
Reetinder Sodhi  (India),280
Sohag Gazi  (Bangladesh),184
Sohaib Maqsood  (Pakistan),735
Sohail Butt  (United Arab Emirates),8
Sohail Fazal  (Pakistan),56
Sohail Khan  (Pakistan),25
Sohail Tanvir  (Pakistan),399
Vikram Solanki  (England),1097
Christopher Sole  (Scotland),16
Ton Sole  (Scotland),37
Eknath Solkar  (India),27
Sujith Somasunder  (India),16
Sompal Kami  (Nepal),146
Chad Soper  (Papua New Guinea),172
Durand Soraine  (Canada),14
Max Sorensen  (Ireland),125
Soumya Sarkar  (Bangladesh),1467
Tim Southee  (New Zealand),669
Craig Spearman  (New Zealand),936
Barinder Sran  (India),0
Laxman Sreekumar  (United Arab Emirates),61
Sreesanth  (India),44
Kris Srikkanth  (India),4091
Javagal Srinath  (India),883
Tirumalai Srinivasan  (India),10
Sridharan Sriram  (India),81
Keith Stackpole  (Australia),224
Jan Stander  (Scotland),44
Ian Stanger  (Scotland),50
Billy Stanlake  (Australia),4
Richard Staple  (United States),4
Mitchell Starc  (Australia),280
Nick Statham  (Netherlands),7
Martin Stead  (Canada),10
Ryan Steede  (Bermuda),70
David Steele  (England),8
William Stelling  (Netherlands),180
Graham Stevenson  (England),43
Alec Stewart  (England),4677
Errol Stewart  (South Africa),61
Shanan Stewart  (New Zealand),26
Dale Steyn  (South Africa / ACA Africa XI),365
Phillipus Steyn  (South Africa),4
Derek Stirling  (New Zealand),21
Paul Stirling  (Ireland),3897
Marcus Stoinis  (Australia),963
Ben Stokes  (England),2217
Lesley Stokkers  (Netherlands),15
Olly Stone  (England),9
Leslie Stott  (New Zealand),0
Bryan Strang  (Zimbabwe),92
Paul Strang  (Zimbabwe),1090
Andrew Strauss  (England),4205
Heath Streak  (Zimbabwe / ACA Africa XI),2943
Gregory Strydom  (Zimbabwe),147
Pieter Strydom  (South Africa),48
Reinhardt Strydom  (Ireland),83
Anthony Stuart  (Australia),1
Colin Stuart  (West Indies),3
Scott Styris  (New Zealand),4483
Murphy Su'A  (New Zealand),24
Subashis Roy  (Bangladesh),1
Sudhakar Rao  (India),4
Suhrawadi Shuvo  (Bangladesh),98
Anthony Suji  (Kenya),506
Martin Suji  (Kenya),247
Sultan Ahmed  (United Arab Emirates),18
Sultan Zarawani  (United Arab Emirates),26
Glen Sulzberger  (New Zealand),9
Shiraz Sumar  (East Africa),4
Sunzamul Islam  (Bangladesh),19
Suraj Kumar  (Oman),27
Zubin Surkari  (Canada),328
Stephan Swanepoel  (Namibia),43
Graeme Swann  (England),500
Michael Swart  (Netherlands),197
Syed Maqsood  (United Arab Emirates),18
Syed Rasel  (Bangladesh),81
Pat Symcox  (South Africa),694
Andrew Symonds  (Australia),5088
Gerrie Synman  (Namibia),5
Eric Szwarczynski  (Netherlands),1102
Tabarak Dar  (Hong Kong),101
Tahir Naqqash  (Pakistan),210
Tatenda Taibu  (Zimbabwe / ACA Africa XI),3393
Taijul Islam  (Bangladesh),21
Alex Tait  (New Zealand),35
Shaun Tait  (Australia),25
Talha Jubair  (Bangladesh),5
Tamim Iqbal  (Bangladesh),6636
Tanbir Hayder  (Bangladesh),5
Tanveer Ahmed  (Hong Kong),4
Tanvir Ahmed  (Pakistan),18
Tanvir Mehdi  (Pakistan),0
Tanwir Afzal  (Hong Kong),292
Tapash Baisya  (Bangladesh),336
Tareq Aziz  (Bangladesh),26
Tariq Javed  (Canada),15
Taskin Ahmed  (Bangladesh),41
Taslim Arif  (Pakistan),28
Taufeeq Umar  (Pakistan),504
Tausif Ahmed  (Pakistan),116
Chris Tavare  (England),720
Bruce Taylor  (New Zealand),22
Brendan Taylor  (Zimbabwe),6156
Jerome Taylor  (West Indies),278
Jonathan Taylor  (England),1
James Taylor  (England),887
Leslie Taylor  (England),1
Ross Taylor  (New Zealand),8026
Mark Taylor  (Australia),3514
Peter Taylor  (Australia),437
Robert Taylor  (Scotland),154
Robert Taylor  (England),130
Steven Taylor  (United States),0
Roger Telemachus  (South Africa),73
Ryan ten Doeschate  (Netherlands),1541
Sachin Tendulkar  (India),18426
Anura Tennekoon  (Sri Lanka),137
Daniel ter Braak  (Netherlands),40
David Terbrugge  (South Africa),5
Sean Terry  (Ireland),32
Vinoo Tewarie  (Netherlands),4
Shardul Thakur  (India),22
Upul Tharanga  (Sri Lanka / ACC Asian XI),6951
Rusty Theron  (South Africa),5
Lahiru Thirimanne  (Sri Lanka),2990
Devon Thomas  (West Indies),238
John Thomas  (England),1
Oshane Thomas  (West Indies),0
Ewen Thompson  (New Zealand),0
Greg Thompson  (Ireland),2
Patterson Thompson  (West Indies),2
Stuart Thompson  (Ireland),228
Froggy Thomson  (Australia),0
Jeff Thomson  (Australia),181
Shane Thomson  (New Zealand),964
Graham Thorpe  (England),2380
Sanjayan Thuraisingam  (Canada),45
Thilan Thushara  (Sri Lanka),392
David Tikolo  (Kenya),36
Stephen Tikolo  (Kenya / ACA Africa XI),3428
Hashan Tillakaratne  (Sri Lanka),3789
Donald Tiripano  (Zimbabwe),199
Michael Tissera  (Sri Lanka),78
Fred Titmus  (England),11
Manoj Tiwary  (India),287
Saurabh Tiwary  (India),49
Roger Tolchard  (England),0
Gavin Tonge  (West Indies),10
Peter Toohey  (Australia),105
Reece Topley  (England),7
Athanasios Traicos  (Zimbabwe),88
James Tredwell  (England),163
Christopher Tremain  (Australia),23
Christopher Tremlett  (England),50
Marcus Trescothick  (England),4335
Glenn Trimble  (Australia),4
Jonathan Trott  (England),2819
Rodney Trott  (Bermuda),130
Jamie Troughton  (England),36
Gary Troup  (New Zealand),101
Thandi Tshabalala  (South Africa),2
Lonwabo Tsotsobe  (South Africa),56
Janeiro Tucker  (Bermuda),496
Lorcan Tucker  (Ireland),7
Tamauri Tucker  (Bermuda),0
Carl Tuckett  (West Indies),0
Alex Tudor  (England),9
Daryl Tuffey  (New Zealand),295
Phil Tufnell  (England),15
Alan Turner  (Australia),247
Ashton Turner  (Australia),125
Glenn Turner  (New Zealand),1598
Tushar Imran  (Bangladesh),574
Roger Twose  (New Zealand),2717
Sudeep Tyagi  (India),1
Andrew Tye  (Australia),57
Shaun Udal  (England),35
Isuru Udana  (Sri Lanka),125
Mahela Udawatte  (Sri Lanka),257
Umair Ali  (United Arab Emirates),20
Umar Akmal  (Pakistan),3194
Umar Amin  (Pakistan),271
Umar Gul  (Pakistan),457
Jaydev Unadkat  (India),0
Derek Underwood  (England),53
Kalutarage Upashantha  (Sri Lanka),49
Tony Ura  (Papua New Guinea),523
Usman Ghani  (Afghanistan),411
Usman Limbada  (Canada),189
Usman Mushtaq  (United Arab Emirates),3
Usman Salahuddin  (Pakistan),13
Usman Shinwari  (Pakistan),6
Robin Uthappa  (India),934
Prosper Utseya  (Zimbabwe),1406
Chaminda Vaas  (Sri Lanka / ACC Asian XI),2025
Aldesh Vadher  (Kenya),278
Prashant Vaidya  (India),15
Assad Vala  (Papua New Guinea),383
John Valentine  (Canada),3
Daan van Bunge  (Netherlands),633
Rassie van der Dussen  (South Africa),353
Timm van der Gugten  (Netherlands),4
Albert van der Merwe  (Ireland),15
Roelof van der Merwe  (South Africa),39
Johannes van der Wath  (South Africa),89
Martin van Jaarsveld  (South Africa),124
Vaughn van Jaarsveld  (South Africa),9
Paul van Meekeren  (Netherlands),30
Maurits van Nierop  (Netherlands),35
Klass-Jan van Noortwijk  (Netherlands),322
Robert Van Oosterom  (Netherlands),7
Burton van Rooi  (Namibia),26
Melt van Schoor  (Namibia),58
Lucas van Troost  (Netherlands),284
Rudolph van Vuuren  (Namibia),26
Morne van Wyk  (South Africa),425
Cornelius Van Zyl  (South Africa),3
Robert Vance  (New Zealand),248
Jeffrey Vandersay  (Sri Lanka),71
Michael Vandort  (Sri Lanka),48
Norman Vanua  (Papua New Guinea),178
Hiren Varaiya  (Kenya),254
Jack Vare  (Papua New Guinea),81
John Vaughan  (Canada),30
Justin Vaughan  (New Zealand),162
Michael Vaughan  (England),1982
Michael Veletta  (Australia),484
Dillip Vengsarkar  (India),3508
Srinivas Venkataraghavan  (India),54
Margasaghayam Venkataramana  (India),0
Yalaka Venugopal Rao  (India),218
Mark Vermeulen  (Zimbabwe),868
Sharad Vesawkar  (Nepal),4
Daniel Vettori  (New Zealand / ICC World XI),2253
Murali Vijay  (India),339
Christi Viljoen  (Namibia),17
Dirk Viljoen  (Zimbabwe),512
Vinay Kumar  (India),86
James Vince  (England),225
Lou Vincent  (New Zealand),2413
Gundappa Viswanath  (India),439
Sandanand Viswanath  (India),72
Kithuruwan Vithanage  (Sri Lanka),75
