name, score
Gavin Briant  (Zimbabwe),39
Danny Briggs  (England),0
Raymond Bright  (Australia),66
James Brinkley  (Scotland),52
Andrew Britton  (Ireland),0
Chris Broad  (England),1361
Stuart Broad  (England),529
Neil Broom  (New Zealand),943
Alistair Brown  (England),354
Darryl Brown  (West Indies),10
Douglas Brown  (Scotland / England),319
Robin Brown  (Zimbabwe),110
Vaughan Brown  (New Zealand),44
Barrington Browne  (West Indies),8
Courtney Browne  (West Indies),415
Patrick Browne  (West Indies),134
Dean Brownlie  (New Zealand),361
Glen Bruk-Jackson  (Zimbabwe),12
Henderson Bryan  (West Indies),43
Rudi Bryson  (South Africa),32
Dylan Budge  (Scotland),11
Carl Bulfin  (New Zealand),9
Jasprit Bumrah  (India),18
Andries Burger  (Namibia),199
Louis Burger  (Namibia),11
Sarel Burger  (Namibia),11
Mark Burgess  (New Zealand),336
Ryan Burl  (Zimbabwe),140
Mark Burmester  (Zimbabwe),109
Joseph Burns  (Australia),146
Iain Butchart  (Zimbabwe),252
Alan Butcher  (England),14
Roland Butcher  (England),58
Deighton Butler  (West Indies),25
Ian Butler  (New Zealand),84
Husain Butt  (Hong Kong),8
Jos Butler  (England),3531
Atse Buurman  (Netherlands),140
Andy Caddick  (England),249
Lance Cairns  (New Zealand),987
Chris Cairns  (New Zealand / ICC World XI),4950
David Callaghan  (South Africa),493
Ian Callen  (Australia),6
Robert Callender  (Canada),0
Scott Cameron  (Scotland),9
James Cameron-Dow  (Ireland),7
Alistair Campbell  (Zimbabwe),5185
Gegory Campbell  (Australia),6
John Campbell  (West Indies),248
Ryan Campbell  (Australia),54
Sherwin Campbell  (West Indies),2283
Lionel Cann  (Bermuda),590
Tama Canning  (New Zealand),52
Peter Cantrell  (Netherlands),160
David Capel  (England),327
Michael Carberry  (England),114
Alex Carey  (Australia),429
Stuart Carlisle  (Zimbabwe),2740
Philip Carlson  (Australia),11
Kenneth Carroll  (Ireland),70
Christopher Carter  (Hong Kong),114
Jonathan Carter  (West Indies),581
Neil Carter  (Scotland),0
Hilton Cartwright  (Australia),2
James Celestine  (Bermuda),60
Yuzvendra Chahal  (India),34
Deepak Chahar  (India),12
Regis Chakabva  (Zimbabwe),599
Stuart Chalmers  (Scotland),9
Dushmantha Chameera  (Sri Lanka),93
Upul Chandana  (Sri Lanka),1627
Shivnarine Chanderpaul  (West Indies),8778
Dinesh Chandimal  (Sri Lanka),3599
Bhagwat Chandrasekhar  (India),11
Vakkadai Chandrasekhar  (India),88
Mark Chapman  (New Zealand / Hong Kong),160
Christopher Chappell  (Canada),38
Greg Chappell  (Australia),2331
Ian Chappell  (Australia),673
Trevor Chappell  (Australia),229
Glen Chapple  (England),14
Brian Chari  (Zimbabwe),150
Johnson Charles  (West Indies),1283
Peter Chase  (Ireland),35
Roston Chase  (West Indies),233
Tendai Chatara  (Zimbabwe),159
Ewen Chatfield  (New Zealand),118
Sewnarine Chattergoon  (West Indies),370
Utpal Chatterjee  (India),6
Chetandra Chauhan  (India),153
